排名,CPU名称,性能分数,百分比,ID
1292,Intel Core Ultra 5 225U,14204,8.7315199016444%,6112
1293,Intel Xeon W-1290TE @ 1.80GHz,14195,8.7259873981866%,6078
1294,Intel Xeon E5-2673 v3 @ 2.40GHz,14193,8.7247579529737%,2457
1295,Intel Xeon E5-2696 v2 @ 2.50GHz,14190,8.7229137851544%,2487
1296,Intel Xeon W-2135 @ 3.70GHz,14175,8.7136929460581%,2596
1297,AMD Ryzen 7 5825C,14149,8.6977101582911%,6132
1298,Intel Xeon E5-2697 v2 @ 2.70GHz,14138,8.6909482096204%,2490
1299,Intel Core i7-1370PRE,14103,8.6694329183956%,5731
1300,Intel Xeon E-2374G @ 3.70GHz,14086,8.6589826340864%,4555
1301,Intel Core i7-6900K @ 3.20GHz,14080,8.6552942984478%,1743
1302,AMD Ryzen 5 2600X,14071,8.64976179499%,807
1303,Intel Core i9-9880H @ 2.30GHz,14064,8.645458736745%,3318
1304,Intel Xeon E-2186G @ 3.80GHz,14037,8.6288612263716%,2255
1305,ARM Oryon 12 Core 3417 MHz,14036,8.6282465037652%,6447
1306,AMD Ryzen 3 PRO 5355G with Radeon Graphics,14033,8.6264023359459%,6573
1307,Intel Xeon E5-2667 v4 @ 3.20GHz,14027,8.6227140003074%,2452
1308,AMD Ryzen 3 PRO 5350G,14025,8.6214845550945%,4254
1309,Intel Core i5-10600 @ 3.30GHz,14023,8.6202551098817%,3658
1310,Intel Xeon Gold 5115 @ 2.40GHz,14007,8.6104195481789%,4783
1311,Intel Xeon E-2246G @ 3.60GHz,13987,8.5981250960504%,3381
1312,AMD Ryzen AI 5 430 w/ Radeon 840M,13959,8.5809128630705%,6661
1313,Intel Core i7-1265U,13953,8.577224527432%,4632
1314,Intel Xeon E5-2670 v3 @ 2.30GHz,13931,8.5637006300907%,2455
1315,Intel Core Ultra 7 268V,13916,8.5544797909943%,6022
1316,Intel Xeon W-1250 @ 3.30GHz,13912,8.5520209005686%,3739
1317,Intel Core i3-12300T,13898,8.5434147840787%,4984
1318,Intel Core i9-9900T @ 2.10GHz,13896,8.5421853388658%,3485
1319,Intel Core i7-8700K @ 3.70GHz,13890,8.5384970032273%,1777
1320,Intel Xeon W-1250E @ 3.50GHz,13888,8.5372675580144%,4814
1321,AMD Ryzen AI 5 330 w/ Radeon 890M,13845,8.5108344859382%,6546
1322,AMD Ryzen 3 5300GE,13843,8.5096050407254%,4253
1323,Intel Core i7-1365U,13832,8.5028430920547%,5116
1324,AMD EPYC 3251,13749,8.4518211157215%,3466
1325,Intel Xeon E-2176G @ 3.70GHz,13725,8.4370677731674%,2253
1326,AMD Ryzen 3 PRO 5350GE,13707,8.4260027662517%,4255
1327,AMD Ryzen 7 4700U,13706,8.4253880436453%,3602
1328,Intel Xeon D-1823NT @ 2.80GHz,13673,8.4051021976333%,6122
1329,Intel Core i3-13100,13669,8.4026433072076%,5040
1330,AMD Ryzen 5 4600U,13661,8.3977255263562%,3630
1331,AMD Ryzen AI 5 330,13606,8.3639157830029%,6494
1332,Virtual @ 3.24GHz,13577,8.3460888274166%,5973
1333,AMD Ryzen 5 PRO 2600,13575,8.3448593822038%,813
1334,Intel Core i3-12100,13561,8.3362532657138%,4563
1335,Intel Xeon W-1270TE @ 2.00GHz,13553,8.3313354848625%,4440
1336,MediaTek MT6993,13547,8.3276471492239%,6633
1337,Mediatek MT6991,13543,8.3251882587982%,6119
1338,Intel Xeon Phi DL 7255 @ 1.10GHz,13537,8.3214999231597%,5971
1339,Intel Xeon Platinum 8473C,13528,8.3159674197019%,6463
1340,AMD Ryzen 3 5300G,13508,8.3036729675734%,4262
1341,Intel Xeon E-2136 @ 3.30GHz,13506,8.3024435223605%,2250
1342,Intel Core i7-9700F @ 3.00GHz,13504,8.3012140771477%,3327
1343,Intel Xeon E5-2695 v2 @ 2.40GHz,13495,8.2956815736899%,2484
1344,Intel Core i5-1235U,13495,8.2956815736899%,4631
1345,Intel Xeon E5-2658 v3 @ 2.20GHz,13487,8.2907637928385%,2441
1346,Intel Xeon E-2146G @ 3.50GHz,13471,8.2809282311357%,2251
1347,Intel Xeon E5-2690 v2 @ 3.00GHz,13433,8.2575687720916%,2480
1348,Intel Core 5 220U,13410,8.2434301521438%,6049
1349,Intel Core i7-9700 @ 3.00GHz,13409,8.2428154295374%,3339
1350,AMD Ryzen 3 PRO 5355GE,13379,8.2243737513447%,6088
1351,AMD Ryzen 5 3500X,13368,8.217611802674%,3475
1352,Intel Core i5-11400T @ 1.30GHz,13367,8.2169970800676%,4275
1353,Intel Xeon E5-1660 v4 @ 3.20GHz,13351,8.2071615183648%,2365
1354,Intel Core i7-11700T @ 1.40GHz,13311,8.1825726141079%,4438
1355,AMD Ryzen 3 7440U w/ Radeon 740M Graphics,13308,8.1807284462886%,5581
1356,Intel Core i7-10700T @ 2.00GHz,13305,8.1788842784693%,3695
1357,Intel Xeon E-2276G @ 3.80GHz,13300,8.1758106654372%,3481
1358,AMD Ryzen 5 5500U,13272,8.1585984324574%,4031
1359,AMD Ryzen 3 PRO 210 w/ Radeon 740M Graphics,13226,8.1303211925619%,6407
1360,AMD Ryzen Embedded V2516,13225,8.1297064699554%,4742
1361,AMD Ryzen 5 2600,13207,8.1186414630398%,806
1362,AMD BC-250,13201,8.1149531274013%,6087
1363,Intel Xeon E-2334 @ 3.40GHz,13189,8.1075764561242%,4675
1364,Intel Core i5-10500 @ 3.10GHz,13183,8.1038881204856%,3654
1365,Intel Xeon Silver 4114 @ 2.20GHz,13169,8.0952820039957%,2588
1366,AMD Ryzen 5 PRO 4655GE,13163,8.0915936683572%,5423
1367,Intel Xeon E5-1680 v3 @ 3.20GHz,13161,8.0903642231443%,2367
1368,Intel Xeon E5-2660 v3 @ 2.60GHz,13120,8.0651605962809%,2445
1369,Intel Xeon D-2143IT @ 2.20GHz,13107,8.0571692023974%,2246
1370,Apple A18,13103,8.0547103119717%,5955
1371,Intel Xeon W-10855M @ 2.80GHz,13083,8.0424158598432%,3727
1372,Apple A18 Pro,13079,8.0399569694175%,5951
1373,Intel Core i7-8700 @ 3.20GHz,13061,8.0288919625019%,1776
1374,AMD Ryzen 3 210,12996,7.9889349930844%,6184
1375,AMD Ryzen 5 PRO 4650U,12985,7.9821730444137%,3672
1376,Intel Core i3-14100T,12980,7.9790994313816%,5858
1377,AMD Ryzen 5 1600X,12975,7.9760258183495%,802
1378,Intel Xeon E5-4627 v4 @ 2.60GHz,12969,7.9723374827109%,2502
1379,Intel Core i3-12100TE,12961,7.9674197018595%,4837
1380,Intel Xeon E5-2685 v3 @ 2.60GHz,12944,7.9569694175503%,2470
1381,Intel Xeon E5-2618L v4 @ 2.20GHz,12885,7.9207007837713%,2398
1382,AMD Ryzen 5 3500,12868,7.9102504994621%,3471
1383,Intel Core i7-12800H,12867,7.9096357768557%,4673
1384,AMD Ryzen 3 PRO 7330U,12862,7.9065621638236%,5122
1385,Intel Core i3-13100T,12841,7.8936529890887%,5158
1386,Intel Core i7-7800X @ 3.50GHz,12829,7.8862763178116%,1758
1387,AMD Ryzen 3 7335U,12810,7.8745965882895%,5793
1388,ARM - 14 Core 2601 MHz,12794,7.8647610265868%,6574
1389,Google Tensor G5,12788,7.8610726909482%,6452
1390,Intel CoreTM Ultra 5 115U,12771,7.850622406639%,6213
1391,Intel Core i7-1255U,12769,7.8493929614262%,4765
1392,Intel Core i3-12100T,12767,7.8481635162133%,4690
1393,AMD Ryzen 3 3300X,12762,7.8450899031812%,3622
1394,Intel Ultra 5 115U,12736,7.8291071154142%,6259
1395,Intel Ultra 5 115U,12736,7.8291071154142%,6260
1396,Intel Core i3-1215U,12704,7.8094359920086%,4735
1397,Intel Core i7-1260U,12701,7.8075918241893%,4866
1398,Hygon C86-3G,12691,7.8014445981251%,6418
1399,Intel Core i7-5960X @ 3.00GHz,12685,7.7977562624866%,1714
1400,Intel Core Ultra 5 134U,12606,7.7491931765791%,5810
1401,Intel Xeon W-11555MLE @ 1.90GHz,12591,7.7399723374827%,4959
1402,Intel Xeon E5-2667 v3 @ 3.20GHz,12578,7.7319809435992%,2451
1403,Virtual @ 3.80GHz,12575,7.7301367757799%,5867
1404,AMD Ryzen 5 5500H,12543,7.7104656523744%,5538
1405,Hygon C86-4G (OPN:3450G),12541,7.7092362071615%,6449
1406,Intel Xeon E5-2680 v2 @ 2.80GHz,12511,7.6907945289688%,2464
1407,Intel Xeon E5-4657L v2 @ 2.40GHz,12495,7.680958967266%,2509
1408,Intel Core Ultra 5 115U,12467,7.6637467342862%,6275
1409,Intel Core i7-10750H @ 2.60GHz,12466,7.6631320116797%,3581
1410,QTI SM8750P,12454,7.6557553404026%,6458
1411,AMD Ryzen 3 8440U,12446,7.6508375595513%,5894
1412,Intel Core i5-10400F @ 2.90GHz,12442,7.6483786691256%,3673
1413,Intel Core i7-8700B @ 3.20GHz,12425,7.6379283848164%,3256
1414,Intel Xeon E5-1680 v2 @ 3.00GHz,12408,7.6274781005071%,2366
1415,Intel Core i5-11320H @ 3.20GHz,12403,7.624404487475%,4501
1416,Intel Core i7-11370H @ 3.30GHz,12402,7.6237897648686%,3862
1417,Intel Xeon E5-2649 v3 @ 2.30GHz,12399,7.6219455970493%,2430
1418,Intel Xeon W-2133 @ 3.60GHz,12364,7.6004303058245%,2595
1419,Intel Core i5-10400 @ 2.90GHz,12363,7.5998155832181%,3642
1420,SM8850,12355,7.5948978023667%,6665
1421,AMD Ryzen 5 1600,12347,7.5899800215153%,801
1422,Intel Core i5-10505 @ 3.20GHz,12318,7.572153065929%,4239
1423,AMD Ryzen 3 PRO 7335U,12306,7.5647763946519%,5730
1424,Apple A17 Pro,12301,7.5617027816198%,5461
1425,Hygon C86 3350 8-core,12292,7.556170278162%,5866
1426,Intel Atom P5342,12291,7.5555555555556%,5795
1427,Intel Xeon E5-1660 v3 @ 3.00GHz,12276,7.5463347164592%,2364
1428,AMD Ryzen Z2 Go,12270,7.5426463808207%,6140
1429,AMD Ryzen 3 5425U,12269,7.5420316582142%,4585
1430,Intel Xeon Gold 6278C @ 2.60GHz,12242,7.5254341478408%,4288
1431,Intel Xeon E5-2687W v2 @ 3.40GHz,12241,7.5248194252344%,2474
1432,AMD Ryzen 3 PRO 5475U,12230,7.5180574765637%,4729
1433,Intel Xeon E5-2650 v4 @ 2.20GHz,12225,7.5149838635316%,2434
1434,Intel Core i7-1260P,12224,7.5143691409252%,4589
1435,Intel Core i7-11375H @ 3.30GHz,12216,7.5094513600738%,4051
1436,Intel Core i7-10850H @ 2.70GHz,12209,7.5051483018288%,3646
1437,Intel Xeon E5-2667 v2 @ 3.30GHz,12207,7.503918856616%,2450
1438,Intel Xeon D-2141I @ 2.20GHz,12177,7.4854771784232%,3242
1439,Intel Core i3-1210U,12130,7.4565852159213%,4774
1440,Intel Xeon E5-2692 v2 @ 2.20GHz,12119,7.4498232672507%,2483
1441,Intel Core i3-1320PE,12116,7.4479790994314%,6440
1442,Intel Core i5-11500T @ 1.50GHz,12085,7.4289226986322%,4406
1443,Intel Core i7-1195G7 @ 2.90GHz,12082,7.427078530813%,4387
1444,Intel Xeon E-2276M @ 2.80GHz,12057,7.4117104656524%,3353
1445,Intel Core i5-10500H @ 2.50GHz,12057,7.4117104656524%,4050
1446,AMD Ryzen 5 PRO 4500U,12049,7.406792684801%,3651
1447,AMD Ryzen 3 PRO 5450U,12047,7.4055632395881%,4277
1448,Intel Xeon E-2278GEL @ 2.00GHz,12024,7.3914246196404%,3479
1449,Intel Core i5-1245UE,11991,7.3711387736284%,4917
1450,Intel Xeon E5-2675 v3 @ 1.80GHz,11960,7.3520823728293%,2459
1451,Intel Xeon E E-2414,11923,7.3293376363916%,5678
1452,Intel Core i5-1335UE,11921,7.3281081911787%,5816
1453,Intel Xeon E5-2673 v2 @ 3.30GHz,11919,7.3268787459659%,2456
1454,Intel Xeon E5-2650L v4 @ 1.70GHz,11918,7.3262640233595%,2437
1455,AMD Ryzen 3 5400U,11888,7.3078223451667%,4062
1456,AMD Ryzen Embedded V3C14 4-Core,11882,7.3041340095282%,6056
1457,Intel Xeon E5-2650 v3 @ 2.30GHz,11872,7.297986783464%,2433
1458,Intel Core i5-1345URE,11825,7.269094820962%,6189
1459,Intel Xeon E5-2650L v3 @ 1.80GHz,11820,7.2660212079299%,2436
1460,ARM Neoverse-N1 32 Core 1700 MHz,11820,7.2660212079299%,5358
1461,Microsoft SQ3 @ 3.0 GHz,11817,7.2641770401107%,5545
1462,AMD Ryzen 3 7330U,11816,7.2635623175042%,5063
1463,Intel Xeon E5-2663 v3 @ 2.80GHz,11777,7.2395881358537%,2447
1464,AMD Ryzen 5 2600E,11771,7.2358998002152%,6061
1465,ARM Neoverse-N1 80 Core 2800 MHz,11755,7.2260642385124%,5157
1466,Intel Xeon E5-2640 v4 @ 2.40GHz,11732,7.2119256185646%,2423
1467,Intel Xeon D-2146NT @ 2.30GHz,11718,7.2033195020747%,3392
1468,Hygon C86-3G-3G (OPN:3350),11712,7.1996311664361%,6475
1469,AMD Ryzen 3 3100,11687,7.1842631012755%,3621
1470,Intel Core 5 211TE,11685,7.1830336560627%,6660
1471,AMD Ryzen 3 4100,11676,7.1775011526049%,4737
1472,Snapdragon 8cx Gen 3 @ 3.0 GHz,11671,7.1744275395728%,4910
1473,Intel Core i3-13100E,11650,7.1615183648379%,5425
1474,Intel Xeon D-1577 @ 1.30GHz,11645,7.1584447518057%,3759
1475,Intel Core i7-1185G7E @ 2.80GHz,11645,7.1584447518057%,4168
1476,Intel Xeon Platinum 8481C @ 2.70GHz,11641,7.1559858613801%,5588
1477,Mediatek Kompanio Ultra 910,11631,7.1498386353158%,6563
1478,Intel Xeon E5-2670 v2 @ 2.50GHz,11613,7.1387736284002%,2454
1479,Intel Xeon Platinum 8369B @ 2.70GHz,11613,7.1387736284002%,5069
1480,Intel Xeon E5-4628L v4 @ 1.80GHz,11606,7.1344705701552%,5649
1481,Intel Core i7-9850H @ 2.60GHz,11551,7.1006608268019%,3340
1482,Intel Xeon E5-2648L v4 @ 1.80GHz,11547,7.0982019363762%,2429
1483,Intel Core i7-9700E @ 2.60GHz,11544,7.0963577685569%,3787
1484,Intel Core i7-9750HF @ 2.60GHz,11541,7.0945136007377%,3543
1485,Intel Xeon E5-4669 v4 @ 2.20GHz,11523,7.083448593822%,2511
1486,ARM Neoverse-V1 16 Core 0 MHz,11519,7.0809897033963%,6331
1487,Samsung s5e9945,11445,7.035500230521%,5640
1488,Intel Xeon Platinum 8370C @ 2.80GHz,11443,7.0342707853081%,4695
1489,StratoVirt,11440,7.0324266174889%,6356
1490,Intel Core i3-1315U,11435,7.0293530044567%,5141
1491,Intel Core i5-10600T @ 2.40GHz,11430,7.0262793914246%,3745
1492,Intel Xeon E5-1650 v4 @ 3.60GHz,11426,7.0238205009989%,2361
1493,Intel Core i5-11300H @ 3.10GHz,11414,7.0164438297218%,4150
1494,Intel Xeon E5-4650 v2 @ 2.40GHz,11389,7.0010757645612%,4874
1495,Intel Core i3-11100B @ 3.60GHz,11357,6.9814046411557%,4518
1496,AMD Ryzen 3 PRO 4350GE,11354,6.9795604733364%,3693
1497,AMD Ryzen 3 4300GE,11346,6.974642692485%,3780
1498,Intel Xeon E5-4627 v3 @ 2.60GHz,11344,6.9734132472722%,2501
1499,Intel Core i5-1145GRE @ 2.60GHz,11337,6.9691101890272%,4763
1500,AMD Ryzen 3 PRO 4200G,11315,6.9555862916859%,3831
1501,Hygon C86-3G (OPN:3350),11305,6.9494390656216%,6220
1502,Intel Core i3-11100HE @ 2.40GHz,11289,6.9396035039189%,5367
1503,Intel Core i7-6850K @ 3.60GHz,11269,6.9273090517904%,1742
1504,Intel Core i7-9750H @ 2.60GHz,11249,6.9150145996619%,3288
1505,Intel Xeon Silver 4209T @ 2.20GHz,11239,6.9088673735977%,4994
1506,Intel Xeon Bronze 3508U,11224,6.8996465345013%,6235
1507,Intel Core i7-1365URE,11181,6.8732134624251%,5584
1508,Intel Xeon 6315P,11179,6.8719840172122%,6405
1509,Intel Xeon E5-2640 v3 @ 2.60GHz,11172,6.8676809589673%,2422
1510,Intel Xeon Silver 4208 @ 2.10GHz,11163,6.8621484555095%,3370
1511,AMD Ryzen 5 4500U,11159,6.8596895650838%,3607
1512,Intel Xeon E5-2643 v4 @ 3.40GHz,11152,6.8553865068388%,2427
1513,ARM Neoverse-N1 16 Core 0 MHz,11144,6.8504687259874%,4236
1514,Apple A16 Bionic,11131,6.8424773321039%,5460
1515,Intel Xeon E-2226G @ 3.40GHz,11119,6.8351006608268%,3452
1516,Hygon C86 3250 8-core,11114,6.8320270477947%,5494
1517,Intel Xeon E5-2630 v4 @ 2.20GHz,11104,6.8258798217304%,2412
1518,Intel Xeon E-2324G @ 3.10GHz,11102,6.8246503765176%,4998
1519,Intel Xeon E5-2628L v4 @ 1.90GHz,11079,6.8105117565698%,2407
1520,Intel Core 3 100U,11049,6.7920700783771%,5721
1521,Intel Core 7 160UL,11043,6.7883817427386%,6388
1522,AMD Ryzen 3 4300G,11040,6.7865375749193%,3709
1523,Intel Core i7-11390H @ 3.40GHz,11024,6.7767020132165%,4496
1524,Intel Xeon E5-2470 v2 @ 2.40GHz,10979,6.7490394959275%,2387
1525,AMD Ryzen 3 PRO 4200GE,10930,6.7189180882127%,3785
1526,Intel Xeon E-2126G @ 3.30GHz,10922,6.7140003073613%,3269
1527,Intel Xeon E5-4655 v4 @ 2.50GHz,10912,6.7078530812971%,5959
1528,Apple A12X Bionic,10884,6.6906408483172%,3836
1529,Intel Core i7-9850HE @ 2.70GHz,10868,6.6808052866144%,5874
1530,Intel Xeon E5-2630L v4 @ 1.80GHz,10864,6.6783463961887%,2416
1531,Intel Core i9-8950HK @ 2.90GHz,10863,6.6777316735823%,1809
1532,Intel Core i5-9600KF @ 3.70GHz,10843,6.6654372214538%,3304
1533,Intel Xeon E5-4650 v3 @ 2.10GHz,10838,6.6623636084217%,3806
1534,AMD Ryzen 3 PRO 4350G,10818,6.6500691562932%,3700
1535,Intel Core i5-1145G7 @ 2.60GHz,10798,6.6377747041647%,3817
1536,Intel Core i5-9600K @ 3.70GHz,10796,6.6365452589519%,1588
1537,Intel Xeon E-2176M @ 2.70GHz,10794,6.635315813739%,2254
1538,Hygon C86 3350E 8-core,10771,6.6211771937913%,6649
1539,QTI SM8735,10752,6.6094974642692%,6361
1540,AMD Ryzen 5 7235HS,10746,6.6058091286307%,5820
1541,Intel Core i5-10500T @ 2.30GHz,10726,6.5935146765022%,3674
1542,Intel Core i7-9700TE @ 1.80GHz,10722,6.5910557860765%,3501
1543,Intel Xeon E-2186M @ 2.90GHz,10721,6.5904410634701%,2256
1544,QTI SM8750,10718,6.5885968956508%,6068
1545,Intel Core i5-1345UE,10680,6.5652374366067%,6092
1546,Intel Core i7-9700T @ 2.00GHz,10671,6.5597049331489%,3369
1547,Intel Core i7-1165G7 @ 2.80GHz,10660,6.5529429844783%,3719
1548,Intel Core i7-1250U,10659,6.5523282618718%,4851
1549,Intel Core i7-8700T @ 2.40GHz,10655,6.5498693714461%,1778
1550,Samsung s5e9955,10646,6.5443368679883%,6427
1551,Intel Core i5-10500E @ 3.10GHz,10630,6.5345013062855%,4755
1552,Intel Core 3 N355,10615,6.5252804671892%,6038
1553,Intel Core i7-6800K @ 3.40GHz,10594,6.5123712924543%,1736
1554,Intel Xeon W-2225 @ 4.10GHz,10566,6.4951590594744%,3590
1555,Intel Core i5-1155G7 @ 2.50GHz,10560,6.4914707238359%,4457
1556,Intel Core 5 120UL,10558,6.490241278623%,6554
1557,AMD Ryzen Z2 A,10557,6.4896265560166%,6528
1558,Intel Core i5-1130G7 @ 1.10GHz,10540,6.4791762717074%,3860
1559,Intel Xeon E5-2660 v2 @ 2.20GHz,10538,6.4779468264945%,2444
1560,Intel Xeon E5-4620 v3 @ 2.00GHz,10525,6.469955432611%,3586
1561,Intel Xeon E5-2643 v3 @ 3.40GHz,10491,6.4490548639926%,2426
1562,Intel 3 N355,10481,6.4429076379284%,6424
1563,Intel Core i7-8850H @ 2.60GHz,10477,6.4404487475027%,1787
1564,Intel Xeon D-1581 @ 1.80GHz,10476,6.4398340248963%,4506
1565,Intel Core i7-1185G7 @ 3.00GHz,10474,6.4386045796834%,3692
1566,Intel Core i5-9600 @ 3.10GHz,10467,6.4343015214385%,3438
1567,Intel Xeon E5-2618L v3 @ 2.30GHz,10464,6.4324573536192%,2397
1568,AMD Ryzen 3 PRO 4355GE,10460,6.4299984631935%,5254
1569,Intel Core i7-1160G7 @ 1.20GHz,10454,6.4263101275549%,3818
1570,Intel Core i3-10325 @ 3.90GHz,10429,6.4109420623943%,4562
1571,AMD Ryzen 5 PRO 1600,10401,6.3937298294145%,809
1572,Apple A16,10400,6.3931151068081%,6169
1573,Intel Xeon E5-1650 v3 @ 3.50GHz,10382,6.3820500998924%,2360
1574,Intel Xeon E5-4640 v3 @ 1.90GHz,10372,6.3759028738282%,2504
1575,Intel Core i5-1334U,10366,6.3722145381896%,5310
1576,Intel Xeon Silver 4109T @ 2.00GHz,10348,6.361149531274%,2585
1577,Intel Core i5-9500F @ 3.00GHz,10312,6.3390195174428%,3396
1578,Intel Xeon E5-2658 v2 @ 2.40GHz,10280,6.3193483940372%,2440
1579,Intel Xeon E5-2630 v3 @ 2.40GHz,10277,6.3175042262179%,2411
1580,AMD EPYC 3201,10258,6.3058244966959%,3333
1581,Intel Core i7-5930K @ 3.50GHz,10256,6.304595051483%,1712
1582,Intel Core i7-1068NG7 @ 2.30GHz,10241,6.2953742123867%,3634
1583,Intel Xeon E5-1660 v2 @ 3.70GHz,10239,6.2941447671738%,2363
1584,Intel Xeon Silver 4110 @ 2.10GHz,10232,6.2898417089288%,2586
1585,Intel Core i5-1135G7 @ 2.40GHz,10184,6.2603350238205%,3742
1586,Intel Core i5-1140G7 @ 1.10GHz,10179,6.2572614107884%,4036
1587,Intel Core i5-8600K @ 3.60GHz,10153,6.2412786230214%,1586
1588,AMD Ryzen 5 7520C with Radeon Graphics,10148,6.2382050099892%,6214
1589,Intel Core i7-8750H @ 2.20GHz,10136,6.2308283387122%,1783
1590,AMD Ryzen 3 5300U,10133,6.2289841708929%,4160
1591,Intel Core i3-10320 @ 3.80GHz,10129,6.2265252804672%,3800
1592,Intel Xeon Platinum 8378C @ 2.80GHz,10129,6.2265252804672%,6664
1593,Apple A15 Bionic,10125,6.2240663900415%,5296
1594,ARM Apple M1 (Virtual) 4 Core 0 MHz,10123,6.2228369448286%,6306
1595,AMD Ryzen 3 PRO 4450U,10119,6.220378054403%,3723
1596,Snapdragon 8cx Gen 3 @ 2.69 GHz,10110,6.2148455509451%,5846
1597,ARM - 10 Core 0 MHz,10088,6.2013216536038%,6469
1598,Intel Core i5-10400T @ 2.00GHz,10083,6.1982480405717%,3738
1599,Intel U300E,10081,6.1970185953588%,5648
1600,AMD Ryzen 5 40 with Radeon Graphics,10079,6.195789150146%,6627
1601,Intel Core i7-10710U @ 1.10GHz,10077,6.1945597049331%,3450
1602,Intel Core i3-N305,10062,6.1853388658368%,5085
1603,Mediatek MT6989,10042,6.1730444137083%,5555
1604,QTI SG8275,10036,6.1693560780698%,6364
1605,Intel Core i3-1125G4 @ 2.00GHz,10034,6.1681266328569%,3822
1606,Intel Xeon E-2234 @ 3.60GHz,10010,6.1533732903028%,3766
1607,Intel Xeon W-2125 @ 4.00GHz,9985,6.1380052251422%,2594
1608,Intel Core i5-10500TE @ 2.30GHz,9960,6.1226371599816%,4731
1609,Intel Xeon E5-2650 v2 @ 2.60GHz,9950,6.1164899339173%,2432
1610,Intel Xeon E5-2628L v3 @ 2.00GHz,9949,6.1158752113109%,2406
1611,virt-9.1,9936,6.1078838174274%,6359
1612,Intel Xeon D-1540 @ 2.00GHz,9895,6.082680190564%,2240
1613,CIX P1 CP8180,9892,6.0808360227447%,6667
1614,QTI SM8550,9875,6.0703857384355%,5184
1615,ARM Firestorm-M1-Pro 8 Core 2064 MHz,9872,6.0685415706163%,5920
1616,Intel Xeon E5-2648L v3 @ 1.80GHz,9847,6.0531735054557%,2428
1617,Intel Core i7-5820K @ 3.30GHz,9840,6.0488704472107%,1709
1618,Intel Core i7-4960X @ 3.60GHz,9836,6.046411556785%,1697
1619,ARM Kunpeng-920 24 Core 2600 MHz,9829,6.04210849854%,6064
1620,Intel Xeon E-2244G @ 3.80GHz,9826,6.0402643307208%,3463
1621,Intel Core i5-1145G7E @ 2.60GHz,9823,6.0384201629015%,4268
1622,Intel Core i5-8600 @ 3.10GHz,9822,6.0378054402951%,1585
1623,Intel Xeon E5-2690 @ 2.90GHz,9818,6.0353465498694%,2479
1624,Intel Core i7-7740X @ 4.30GHz,9814,6.0328876594437%,1757
1625,Intel Xeon D-1718T @ 2.60GHz,9797,6.0224373751345%,4951
1626,Intel Xeon E5-2450 v2 @ 2.50GHz,9795,6.0212079299216%,4821
1627,ARM - 10 Core 2000 MHz,9787,6.0162901490702%,6269
1628,Intel Core i7-13800HRE,9781,6.0126018134317%,5916
1629,Intel Core i5-9500 @ 3.00GHz,9774,6.0082987551867%,3310
1630,Intel Xeon E5-2689 @ 2.60GHz,9772,6.0070693099739%,2477
1631,Intel Core i5-1038NG7 @ 2.00GHz,9724,5.9775626248655%,3631
1632,QTI SM8650,9717,5.9732595666206%,5540
1633,Hygon Dhyana,9716,5.9726448440141%,6625
1634,Intel Xeon E5-2687W @ 3.10GHz,9709,5.9683417857692%,2473
1635,Intel Core i3-10305 @ 3.80GHz,9689,5.9560473336407%,4237
1636,AMD Ryzen 5 3350GE,9684,5.9529737206086%,3710
1637,Intel Core i7-7700K @ 4.20GHz,9682,5.9517442753957%,1755
1638,Intel Xeon E-2276ME @ 2.80GHz,9680,5.9505148301829%,4294
1639,AMD Ryzen 5 7520U,9657,5.9363762102351%,5084
1640,AMD Ryzen 5 PRO 3350GE,9643,5.9277700937452%,3713
1641,Intel Xeon E-2274G @ 4.00GHz,9639,5.9253112033195%,3467
1642,Hygon C86 3185 8-core,9627,5.9179345320424%,5053
1643,Intel Xeon Platinum 8372HC @ 3.40GHz,9626,5.917319809436%,5663
1644,Intel Core i5-8500 @ 3.00GHz,9619,5.913016751191%,1583
1645,ARM FT-2000+/64 64 Core 0 MHz,9605,5.9044106347011%,6318
1646,QTI QCS8550,9603,5.9031811894882%,5515
1647,Intel Xeon E-2174G @ 3.80GHz,9568,5.8816658982634%,2252
1648,Intel Core i7-1365UE,9565,5.8798217304441%,6021
1649,Intel Xeon Bronze 3408U,9557,5.8749039495927%,5896
1650,Intel Core i5-9400F @ 2.90GHz,9543,5.8662978331028%,3265
1651,Intel Xeon D-1541 @ 2.10GHz,9529,5.8576917166129%,2241
1652,AMD Ryzen 5 PRO 3350G,9515,5.8490856001229%,3712
1653,Intel Core i5-9400 @ 2.90GHz,9499,5.8392500384202%,3283
1654,"ARM HUAWEI,Kunpeng 920 24 Core 2600 MHz",9496,5.8374058706009%,5741
1655,Google Tensor G4,9486,5.8312586445367%,5924
1656,Intel Core i5-8500B @ 3.00GHz,9474,5.8238819732596%,3249
1657,AMD Ryzen 5 2500X,9462,5.8165053019825%,3278
1658,ZHAOXIN KaiXian KX-7000,9450,5.8091286307054%,5929
1659,Intel Xeon E5-4620 v2 @ 2.60GHz,9438,5.8017519594283%,4896
1660,Intel Xeon Gold 5222 @ 3.80GHz,9428,5.7956047333641%,3676
1661,Intel Atom x7809C,9409,5.783925003842%,6566
1662,Intel Core i3-1305U,9405,5.7814661134163%,5343
1663,AMD Ryzen 5 PRO 1500,9404,5.7808513908099%,808
1664,Intel Core i7-1265UE,9392,5.7734747195328%,4973
1665,Intel Xeon E5-4655 v3 @ 2.90GHz,9377,5.7642538804365%,2508
